date,reg_order,com_id,REGION,PROVINCIA,COMUNA,nom_minrel,nom_iso,br_ha,com_ha,proportion
26-01-2023,2,1402,Tarapacá,Tamarugal,Camiña,TPCA,01-TA,0.0,37126.0,0
26-01-2023,2,1404,Tarapacá,Tamarugal,Huara,TPCA,01-TA,0.0,120216.0,0
26-01-2023,2,1401,Tarapacá,Tamarugal,Pozo Almonte,TPCA,01-TA,0.0,39137.0,0
26-01-2023,2,1403,Tarapacá,Tamarugal,Colchane,TPCA,01-TA,0.0,149533.0,0
26-01-2023,2,1405,Tarapacá,Tamarugal,Pica,TPCA,01-TA,0.0,107384.0,0
26-01-2023,3,2202,Antofagasta,El Loa,Ollagüe,ANTOF,02-AN,0.0,9632.0,0
26-01-2023,3,2201,Antofagasta,El Loa,Calama,ANTOF,02-AN,0.0,57209.0,0
26-01-2023,3,2203,Antofagasta,El Loa,San Pedro de Atacama,ANTOF,02-AN,4743.0,62883.0,7
26-01-2023,3,2302,Antofagasta,Tocopilla,María Elena,ANTOF,02-AN,0.0,370.0,0
26-01-2023,3,2104,Antofagasta,Antofagasta,Taltal,ANTOF,02-AN,0.0,25859.0,0
26-01-2023,4,3301,Atacama,Huasco,Vallenar,ATCMA,03-AT,0.0,137321.0,0
